# Magnus solar model B23-AGSS09
#
# Reference:  Y. Herrera and A. Serenelli, "Standard Solar Models B23 / SF-III", Zenodo, v1.2 (2023), doi:10.5281/zenodo.10822316; solar composition Asplund et al. (2009), ARA&A, 47, 481
# Source:     https://zenodo.org/records/10822316/files/SolarModels_ICE2023_v1.2.zip
# Original:   SolarModels/struct+nu_SF3_AGSS09.dat
# Retrieved:  2026-09-23
# SHA-256:    382037d76ed35c9b50a4094d3ada3c90284af025c3235b49cda9d932699f87d0 (of SolarModels_ICE2023_v1.2.zip)
# Terms:      Creative Commons Attribution 4.0 International (CC-BY-4.0).
# Modified:   columns extracted only -- radius [R_sun], log10_rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: log10_rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#    #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
#
# r_over_r_sun  log10_rho_g_per_cm3  x_hydrogen
5.500e-02  2.08380e+00  4.39437e-01
5.550e-02  2.08238e+00  4.40649e-01
5.600e-02  2.08096e+00  4.41866e-01
5.650e-02  2.07953e+00  4.43089e-01
5.700e-02  2.07809e+00  4.44316e-01
5.750e-02  2.07665e+00  4.45547e-01
5.800e-02  2.07519e+00  4.46783e-01
5.850e-02  2.07373e+00  4.48023e-01
5.900e-02  2.07227e+00  4.49267e-01
5.950e-02  2.07080e+00  4.50515e-01
6.000e-02  2.06931e+00  4.51768e-01
6.050e-02  2.06782e+00  4.53024e-01
6.100e-02  2.06632e+00  4.54284e-01
6.150e-02  2.06483e+00  4.55547e-01
6.200e-02  2.06333e+00  4.56814e-01
6.250e-02  2.06181e+00  4.58083e-01
6.300e-02  2.06029e+00  4.59356e-01
6.350e-02  2.05876e+00  4.60633e-01
6.400e-02  2.05723e+00  4.61912e-01
6.450e-02  2.05570e+00  4.63194e-01
6.500e-02  2.05415e+00  4.64479e-01
6.550e-02  2.05259e+00  4.65767e-01
6.600e-02  2.05104e+00  4.67057e-01
6.650e-02  2.04947e+00  4.68350e-01
6.700e-02  2.04790e+00  4.69645e-01
6.750e-02  2.04633e+00  4.70942e-01
6.800e-02  2.04475e+00  4.72241e-01
6.850e-02  2.04317e+00  4.73542e-01
6.900e-02  2.04158e+00  4.74844e-01
6.950e-02  2.03999e+00  4.76149e-01
7.000e-02  2.03839e+00  4.77455e-01
7.050e-02  2.03678e+00  4.78763e-01
7.100e-02  2.03517e+00  4.80071e-01
7.150e-02  2.03355e+00  4.81381e-01
7.200e-02  2.03193e+00  4.82692e-01
7.250e-02  2.03030e+00  4.84004e-01
7.300e-02  2.02867e+00  4.85317e-01
7.350e-02  2.02704e+00  4.86631e-01
7.400e-02  2.02540e+00  4.87945e-01
7.450e-02  2.02376e+00  4.89261e-01
7.500e-02  2.02211e+00  4.90576e-01
7.550e-02  2.02045e+00  4.91892e-01
7.600e-02  2.01880e+00  4.93209e-01
7.650e-02  2.01714e+00  4.94525e-01
7.700e-02  2.01547e+00  4.95841e-01
7.750e-02  2.01380e+00  4.97158e-01
7.800e-02  2.01213e+00  4.98474e-01
7.850e-02  2.01045e+00  4.99790e-01
7.900e-02  2.00877e+00  5.01105e-01
7.950e-02  2.00709e+00  5.02420e-01
8.000e-02  2.00539e+00  5.03734e-01
8.050e-02  2.00370e+00  5.05048e-01
8.100e-02  2.00200e+00  5.06360e-01
8.150e-02  2.00030e+00  5.07672e-01
8.200e-02  1.99860e+00  5.08983e-01
8.250e-02  1.99690e+00  5.10293e-01
8.300e-02  1.99518e+00  5.11601e-01
8.350e-02  1.99347e+00  5.12908e-01
8.400e-02  1.99176e+00  5.14214e-01
8.450e-02  1.99003e+00  5.15518e-01
8.500e-02  1.98831e+00  5.16820e-01
8.550e-02  1.98658e+00  5.18121e-01
8.600e-02  1.98485e+00  5.19420e-01
8.650e-02  1.98312e+00  5.20717e-01
8.700e-02  1.98138e+00  5.22012e-01
8.750e-02  1.97964e+00  5.23305e-01
8.800e-02  1.97790e+00  5.24596e-01
8.850e-02  1.97615e+00  5.25885e-01
8.900e-02  1.97441e+00  5.27171e-01
8.950e-02  1.97266e+00  5.28456e-01
9.000e-02  1.97091e+00  5.29737e-01
9.050e-02  1.96915e+00  5.31016e-01
9.100e-02  1.96740e+00  5.32292e-01
9.150e-02  1.96563e+00  5.33566e-01
9.200e-02  1.96387e+00  5.34837e-01
9.250e-02  1.96210e+00  5.36104e-01
9.300e-02  1.96033e+00  5.37369e-01
9.350e-02  1.95856e+00  5.38632e-01
9.400e-02  1.95679e+00  5.39891e-01
9.450e-02  1.95502e+00  5.41146e-01
9.500e-02  1.95324e+00  5.42399e-01
9.550e-02  1.95146e+00  5.43649e-01
9.600e-02  1.94967e+00  5.44895e-01
9.650e-02  1.94789e+00  5.46138e-01
9.700e-02  1.94611e+00  5.47376e-01
9.750e-02  1.94431e+00  5.48612e-01
9.800e-02  1.94252e+00  5.49845e-01
9.850e-02  1.94073e+00  5.51072e-01
9.900e-02  1.93894e+00  5.52297e-01
9.950e-02  1.93714e+00  5.53518e-01
1.000e-01  1.93534e+00  5.54736e-01
1.005e-01  1.93354e+00  5.55949e-01
1.010e-01  1.93174e+00  5.57159e-01
1.015e-01  1.92993e+00  5.58364e-01
1.020e-01  1.92813e+00  5.59565e-01
1.025e-01  1.92632e+00  5.60762e-01
1.030e-01  1.92451e+00  5.61955e-01
1.035e-01  1.92270e+00  5.63144e-01
1.040e-01  1.92088e+00  5.64330e-01
1.045e-01  1.91907e+00  5.65511e-01
1.050e-01  1.91725e+00  5.66687e-01
1.055e-01  1.91543e+00  5.67859e-01
1.060e-01  1.91361e+00  5.69026e-01
1.065e-01  1.91179e+00  5.70190e-01
1.070e-01  1.90996e+00  5.71349e-01
1.075e-01  1.90813e+00  5.72502e-01
1.080e-01  1.90631e+00  5.73651e-01
1.085e-01  1.90448e+00  5.74796e-01
1.090e-01  1.90265e+00  5.75937e-01
1.095e-01  1.90081e+00  5.77072e-01
1.100e-01  1.89898e+00  5.78202e-01
1.105e-01  1.89715e+00  5.79329e-01
1.110e-01  1.89531e+00  5.80450e-01
1.115e-01  1.89347e+00  5.81567e-01
1.120e-01  1.89163e+00  5.82678e-01
1.125e-01  1.88980e+00  5.83784e-01
1.130e-01  1.88795e+00  5.84887e-01
1.135e-01  1.88611e+00  5.85985e-01
1.140e-01  1.88426e+00  5.87077e-01
1.145e-01  1.88241e+00  5.88164e-01
1.150e-01  1.88056e+00  5.89245e-01
1.155e-01  1.87871e+00  5.90320e-01
1.160e-01  1.87686e+00  5.91392e-01
1.165e-01  1.87501e+00  5.92458e-01
1.170e-01  1.87315e+00  5.93520e-01
1.175e-01  1.87129e+00  5.94575e-01
1.180e-01  1.86944e+00  5.95626e-01
1.185e-01  1.86758e+00  5.96673e-01
1.190e-01  1.86572e+00  5.97712e-01
1.195e-01  1.86386e+00  5.98748e-01
1.200e-01  1.86200e+00  5.99779e-01
1.205e-01  1.86013e+00  6.00802e-01
1.210e-01  1.85827e+00  6.01819e-01
1.215e-01  1.85641e+00  6.02833e-01
1.220e-01  1.85454e+00  6.03843e-01
