# Magnus solar model B23-AAG21
#
# Reference:  Y. Herrera and A. Serenelli, "Standard Solar Models B23 / SF-III", Zenodo, v1.2 (2023), doi:10.5281/zenodo.10822316; solar composition Asplund et al. (2021), A&A 653, A141
# Source:     https://zenodo.org/records/10822316/files/SolarModels_ICE2023_v1.2.zip
# Original:   SolarModels/struct+nu_SF3_AAG21.dat
# Retrieved:  2026-09-23
# SHA-256:    382037d76ed35c9b50a4094d3ada3c90284af025c3235b49cda9d932699f87d0 (of SolarModels_ICE2023_v1.2.zip)
# Terms:      Creative Commons Attribution 4.0 International (CC-BY-4.0).
# Modified:   columns extracted only -- radius [R_sun], log10_rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: log10_rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#    #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
#
# r_over_r_sun  log10_rho_g_per_cm3  x_hydrogen
5.500e-02  2.08480e+00  4.36488e-01
5.550e-02  2.08338e+00  4.37704e-01
5.600e-02  2.08195e+00  4.38925e-01
5.650e-02  2.08051e+00  4.40150e-01
5.700e-02  2.07906e+00  4.41379e-01
5.750e-02  2.07762e+00  4.42614e-01
5.800e-02  2.07616e+00  4.43853e-01
5.850e-02  2.07469e+00  4.45096e-01
5.900e-02  2.07321e+00  4.46343e-01
5.950e-02  2.07173e+00  4.47595e-01
6.000e-02  2.07025e+00  4.48850e-01
6.050e-02  2.06875e+00  4.50109e-01
6.100e-02  2.06725e+00  4.51371e-01
6.150e-02  2.06575e+00  4.52637e-01
6.200e-02  2.06423e+00  4.53906e-01
6.250e-02  2.06271e+00  4.55179e-01
6.300e-02  2.06119e+00  4.56455e-01
6.350e-02  2.05965e+00  4.57734e-01
6.400e-02  2.05811e+00  4.59016e-01
6.450e-02  2.05657e+00  4.60301e-01
6.500e-02  2.05501e+00  4.61588e-01
6.550e-02  2.05346e+00  4.62879e-01
6.600e-02  2.05190e+00  4.64172e-01
6.650e-02  2.05033e+00  4.65465e-01
6.700e-02  2.04875e+00  4.66762e-01
6.750e-02  2.04717e+00  4.68062e-01
6.800e-02  2.04559e+00  4.69364e-01
6.850e-02  2.04400e+00  4.70667e-01
6.900e-02  2.04240e+00  4.71972e-01
6.950e-02  2.04079e+00  4.73278e-01
7.000e-02  2.03919e+00  4.74586e-01
7.050e-02  2.03758e+00  4.75896e-01
7.100e-02  2.03596e+00  4.77207e-01
7.150e-02  2.03434e+00  4.78519e-01
7.200e-02  2.03271e+00  4.79832e-01
7.250e-02  2.03108e+00  4.81146e-01
7.300e-02  2.02944e+00  4.82461e-01
7.350e-02  2.02780e+00  4.83777e-01
7.400e-02  2.02616e+00  4.85093e-01
7.450e-02  2.02451e+00  4.86410e-01
7.500e-02  2.02285e+00  4.87728e-01
7.550e-02  2.02119e+00  4.89046e-01
7.600e-02  2.01952e+00  4.90364e-01
7.650e-02  2.01786e+00  4.91681e-01
7.700e-02  2.01619e+00  4.93000e-01
7.750e-02  2.01451e+00  4.94317e-01
7.800e-02  2.01284e+00  4.95634e-01
7.850e-02  2.01116e+00  4.96952e-01
7.900e-02  2.00946e+00  4.98268e-01
7.950e-02  2.00777e+00  4.99584e-01
8.000e-02  2.00608e+00  5.00900e-01
8.050e-02  2.00438e+00  5.02215e-01
8.100e-02  2.00268e+00  5.03529e-01
8.150e-02  2.00096e+00  5.04842e-01
8.200e-02  1.99926e+00  5.06154e-01
8.250e-02  1.99754e+00  5.07466e-01
8.300e-02  1.99583e+00  5.08775e-01
8.350e-02  1.99411e+00  5.10082e-01
