# Magnus solar model B23-MB22p
#
# Reference:  Y. Herrera and A. Serenelli, "Standard Solar Models B23 / SF-III", Zenodo, v1.2 (2023), doi:10.5281/zenodo.10822316; solar composition Magg et al. (2022), A&A 661, A140 (photospheric)
# Source:     https://zenodo.org/records/10822316/files/SolarModels_ICE2023_v1.2.zip
# Original:   SolarModels/struct+nu_SF3_MB22p.dat
# Retrieved:  2026-09-23
# SHA-256:    382037d76ed35c9b50a4094d3ada3c90284af025c3235b49cda9d932699f87d0 (of SolarModels_ICE2023_v1.2.zip)
# Terms:      Creative Commons Attribution 4.0 International (CC-BY-4.0).
# Modified:   columns extracted only -- radius [R_sun], log10_rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: log10_rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#    #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
#
# r_over_r_sun  log10_rho_g_per_cm3  x_hydrogen
5.500e-02  2.08719e+00  4.24746e-01
5.550e-02  2.08575e+00  4.25973e-01
5.600e-02  2.08430e+00  4.27205e-01
5.650e-02  2.08284e+00  4.28440e-01
5.700e-02  2.08138e+00  4.29681e-01
5.750e-02  2.07990e+00  4.30926e-01
5.800e-02  2.07842e+00  4.32176e-01
5.850e-02  2.07693e+00  4.33428e-01
5.900e-02  2.07544e+00  4.34685e-01
5.950e-02  2.07394e+00  4.35946e-01
6.000e-02  2.07243e+00  4.37211e-01
6.050e-02  2.07092e+00  4.38479e-01
6.100e-02  2.06939e+00  4.39750e-01
6.150e-02  2.06786e+00  4.41026e-01
6.200e-02  2.06633e+00  4.42304e-01
6.250e-02  2.06478e+00  4.43584e-01
6.300e-02  2.06324e+00  4.44868e-01
6.350e-02  2.06169e+00  4.46156e-01
6.400e-02  2.06012e+00  4.47446e-01
6.450e-02  2.05856e+00  4.48738e-01
6.500e-02  2.05699e+00  4.50032e-01
6.550e-02  2.05541e+00  4.51330e-01
6.600e-02  2.05382e+00  4.52630e-01
6.650e-02  2.05223e+00  4.53931e-01
6.700e-02  2.05064e+00  4.55235e-01
6.750e-02  2.04903e+00  4.56541e-01
6.800e-02  2.04743e+00  4.57849e-01
6.850e-02  2.04583e+00  4.59158e-01
6.900e-02  2.04421e+00  4.60468e-01
6.950e-02  2.04258e+00  4.61780e-01
7.000e-02  2.04096e+00  4.63094e-01
7.050e-02  2.03933e+00  4.64409e-01
7.100e-02  2.03769e+00  4.65725e-01
7.150e-02  2.03604e+00  4.67042e-01
7.200e-02  2.03439e+00  4.68360e-01
7.250e-02  2.03275e+00  4.69678e-01
7.300e-02  2.03109e+00  4.70998e-01
7.350e-02  2.02942e+00  4.72317e-01
7.400e-02  2.02776e+00  4.73638e-01
7.450e-02  2.02609e+00  4.74959e-01
7.500e-02  2.02442e+00  4.76280e-01
7.550e-02  2.02274e+00  4.77600e-01
7.600e-02  2.02105e+00  4.78921e-01
7.650e-02  2.01937e+00  4.80243e-01
7.700e-02  2.01768e+00  4.81564e-01
7.750e-02  2.01598e+00  4.82884e-01
7.800e-02  2.01429e+00  4.84204e-01
7.850e-02  2.01259e+00  4.85524e-01
7.900e-02  2.01088e+00  4.86842e-01
7.950e-02  2.00916e+00  4.88161e-01
8.000e-02  2.00744e+00  4.89479e-01
8.050e-02  2.00573e+00  4.90795e-01
8.100e-02  2.00401e+00  4.92111e-01
8.150e-02  2.00229e+00  4.93425e-01
8.200e-02  2.00055e+00  4.94739e-01
8.250e-02  1.99882e+00  4.96052e-01
8.300e-02  1.99709e+00  4.97362e-01
8.350e-02  1.99535e+00  4.98671e-01
8.400e-02  1.99360e+00  4.99979e-01
8.450e-02  1.99186e+00  5.01284e-01
8.500e-02  1.99012e+00  5.02589e-01
8.550e-02  1.98836e+00  5.03892e-01
8.600e-02  1.98660e+00  5.05192e-01
8.650e-02  1.98485e+00  5.06490e-01
8.700e-02  1.98309e+00  5.07786e-01
8.750e-02  1.98133e+00  5.09081e-01
8.800e-02  1.97956e+00  5.10373e-01
8.850e-02  1.97779e+00  5.11662e-01
8.900e-02  1.97602e+00  5.12949e-01
8.950e-02  1.97425e+00  5.14234e-01
9.000e-02  1.97247e+00  5.15516e-01
9.050e-02  1.97069e+00  5.16794e-01
9.100e-02  1.96891e+00  5.18071e-01
9.150e-02  1.96712e+00  5.19345e-01
9.200e-02  1.96534e+00  5.20615e-01
9.250e-02  1.96355e+00  5.21882e-01
9.300e-02  1.96175e+00  5.23148e-01
9.350e-02  1.95996e+00  5.24409e-01
9.400e-02  1.95816e+00  5.25667e-01
9.450e-02  1.95636e+00  5.26922e-01
9.500e-02  1.95456e+00  5.28174e-01
9.550e-02  1.95276e+00  5.29423e-01
9.600e-02  1.95096e+00  5.30667e-01
9.650e-02  1.94914e+00  5.31908e-01
9.700e-02  1.94734e+00  5.33146e-01
9.750e-02  1.94553e+00  5.34380e-01
9.800e-02  1.94371e+00  5.35610e-01
9.850e-02  1.94190e+00  5.36837e-01
9.900e-02  1.94008e+00  5.38060e-01
9.950e-02  1.93826e+00  5.39279e-01
1.000e-01  1.93644e+00  5.40494e-01
1.005e-01  1.93462e+00  5.41704e-01
1.010e-01  1.93280e+00  5.42911e-01
1.015e-01  1.93097e+00  5.44114e-01
1.020e-01  1.92913e+00  5.45313e-01
1.025e-01  1.92731e+00  5.46508e-01
1.030e-01  1.92547e+00  5.47699e-01
1.035e-01  1.92364e+00  5.48885e-01
1.040e-01  1.92180e+00  5.50066e-01
1.045e-01  1.91996e+00  5.51243e-01
1.050e-01  1.91813e+00  5.52415e-01
1.055e-01  1.91629e+00  5.53584e-01
1.060e-01  1.91445e+00  5.54748e-01
1.065e-01  1.91260e+00  5.55909e-01
1.070e-01  1.91075e+00  5.57063e-01
1.075e-01  1.90891e+00  5.58213e-01
1.080e-01  1.90706e+00  5.59360e-01
1.085e-01  1.90521e+00  5.60500e-01
1.090e-01  1.90336e+00  5.61635e-01
1.095e-01  1.90150e+00  5.62768e-01
1.100e-01  1.89965e+00  5.63896e-01
1.105e-01  1.89779e+00  5.65016e-01
1.110e-01  1.89593e+00  5.66133e-01
