# Magnus solar model BP2000
#
# Reference:  J. N. Bahcall, M. H. Pinsonneault and S. Basu, "Solar models: current epoch and time dependences, neutrinos, and helioseismological properties", ApJ 555, 990 (2001), doi:10.1086/321493, astro-ph/0010346
# Source:     https://www.sns.ias.edu/~jnb/SNdata/Export/BP2000/bp2000stdmodel.dat
# Original:   bp2000stdmodel.dat
# Retrieved:  2026-09-23
# SHA-256:    b84751e0f7008e6252df2e989b02827b2081d7652050296e0bb5c633a2ec9c14 (of bp2000stdmodel.dat)
# Terms:      "The files accessible here are available for general use. I would appreciate a note at your convenience telling me how you are using them." (J. N. Bahcall, https://www.sns.ias.edu/~jnb/SNdata/sndata.html)
# Modified:   columns extracted only -- radius [R_sun], rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#   Standard Solar Model (BP2000)
#
#   astro-ph/0010346
#
#   Columns in the Standard Model table (below) represent:
#
#   1)  Mass fraction in units of the solar mass
#   2)  Radius of the zone in units of one solar radius
#   3)  Temperature in units of deg (K)
#   4)  Density in units of g/cm^3
#   5)  Pressure in units of dyn/cm^2
#   6)  Luminosity fraction in units of the solar luminosity
#   7)  X(^1H): the hydrogen mass fraction
#   8)  X(^4He): the helium 4 mass fraction
#   9)  X(^3He): the helium 3 mass fraction
#   10) X(^12C): the carbon 12 mass fraction
#   11) X(^14N): the nitrogen 14 mass fraction
#   12) X(^16O): the oxygen 16 mass fraction
#
#   The Table begins here.
#
#
#    M/Msun    R/Rsun      T         Rho        P        L/Lsun     X,       Y        He3       C12       N14       O16
#
# r_over_r_sun  rho_g_per_cm3  x_hydrogen
0.05468  1.243E+02  0.42041
0.05557  1.235E+02  0.42267
0.05645  1.228E+02  0.42490
0.05731  1.221E+02  0.42711
0.05815  1.214E+02  0.42929
0.05898  1.207E+02  0.43144
0.05980  1.200E+02  0.43358
0.06061  1.193E+02  0.43569
0.06141  1.186E+02  0.43778
0.06219  1.180E+02  0.43985
0.06297  1.173E+02  0.44190
0.06374  1.167E+02  0.44394
0.06450  1.160E+02  0.44595
0.06525  1.154E+02  0.44795
0.06599  1.147E+02  0.44993
0.06673  1.141E+02  0.45190
0.06746  1.135E+02  0.45385
0.06818  1.129E+02  0.45578
0.06890  1.123E+02  0.45770
0.06961  1.117E+02  0.45961
0.07032  1.111E+02  0.46151
0.07102  1.105E+02  0.46339
0.07171  1.099E+02  0.46526
0.07241  1.093E+02  0.46712
0.07309  1.087E+02  0.46896
0.07377  1.082E+02  0.47079
0.07445  1.076E+02  0.47262
0.07513  1.070E+02  0.47443
0.07580  1.065E+02  0.47623
0.07647  1.059E+02  0.47802
0.07713  1.054E+02  0.47981
0.07779  1.048E+02  0.48158
0.07845  1.043E+02  0.48334
0.07911  1.037E+02  0.48510
0.07976  1.032E+02  0.48684
0.08041  1.027E+02  0.48858
0.08106  1.021E+02  0.49031
0.08171  1.016E+02  0.49203
0.08235  1.011E+02  0.49374
0.08299  1.006E+02  0.49544
0.08363  1.000E+02  0.49714
0.08427  9.952E+01  0.49883
0.08491  9.900E+01  0.50051
0.08555  9.849E+01  0.50219
0.08618  9.798E+01  0.50386
0.08682  9.748E+01  0.50552
0.08745  9.697E+01  0.50717
0.08808  9.647E+01  0.50882
0.08872  9.597E+01  0.51046
0.08935  9.547E+01  0.51210
0.08998  9.498E+01  0.51373
0.09061  9.448E+01  0.51535
0.09124  9.399E+01  0.51697
0.09186  9.350E+01  0.51858
0.09249  9.302E+01  0.52019
0.09312  9.253E+01  0.52179
0.09375  9.205E+01  0.52339
0.09438  9.156E+01  0.52498
0.09501  9.108E+01  0.52656
0.09564  9.060E+01  0.52814
0.09627  9.013E+01  0.52972
0.09690  8.965E+01  0.53129
0.09753  8.918E+01  0.53286
0.09816  8.870E+01  0.53442
0.09879  8.823E+01  0.53598
0.09943  8.776E+01  0.53753
0.10006  8.729E+01  0.53908
0.10070  8.682E+01  0.54062
0.10133  8.635E+01  0.54216
0.10197  8.589E+01  0.54370
0.10261  8.542E+01  0.54523
0.10325  8.496E+01  0.54676
0.10389  8.449E+01  0.54829
0.10453  8.403E+01  0.54981
0.10518  8.357E+01  0.55132
0.10582  8.311E+01  0.55284
0.10647  8.265E+01  0.55435
0.10712  8.219E+01  0.55585
0.10777  8.173E+01  0.55736
0.10843  8.127E+01  0.55886
0.10909  8.081E+01  0.56036
0.10975  8.035E+01  0.56185
0.11041  7.989E+01  0.56334
0.11107  7.944E+01  0.56483
0.11174  7.898E+01  0.56632
0.11241  7.852E+01  0.56780
0.11308  7.807E+01  0.56928
0.11376  7.761E+01  0.57076
0.11444  7.715E+01  0.57223
0.11512  7.670E+01  0.57371
0.11580  7.624E+01  0.57517
0.11649  7.578E+01  0.57664
0.11719  7.533E+01  0.57811
0.11788  7.487E+01  0.57957
0.11858  7.441E+01  0.58103
0.11929  7.396E+01  0.58249
0.12000  7.350E+01  0.58395
0.12071  7.304E+01  0.58540
0.12143  7.258E+01  0.58686
0.12215  7.212E+01  0.58831
0.12288  7.166E+01  0.58976
0.12361  7.120E+01  0.59121
0.12435  7.074E+01  0.59265
0.12509  7.028E+01  0.59410
0.12584  6.981E+01  0.59554
0.12660  6.935E+01  0.59698
0.12736  6.888E+01  0.59843
0.12813  6.842E+01  0.59987
0.12890  6.795E+01  0.60130
0.12968  6.748E+01  0.60274
0.13047  6.701E+01  0.60418
0.13126  6.654E+01  0.60562
0.13206  6.607E+01  0.60705
0.13287  6.559E+01  0.60848
0.13369  6.512E+01  0.60992
0.13452  6.464E+01  0.61135
0.13535  6.416E+01  0.61278
0.13619  6.367E+01  0.61421
0.13705  6.319E+01  0.61565
0.13791  6.270E+01  0.61708
0.13878  6.221E+01  0.61851
0.13966  6.172E+01  0.61994
0.14056  6.123E+01  0.62137
0.14146  6.073E+01  0.62280
0.14238  6.023E+01  0.62423
0.14330  5.973E+01  0.62566
0.14424  5.922E+01  0.62710
0.14520  5.871E+01  0.62853
0.14616  5.820E+01  0.62996
0.14714  5.769E+01  0.63139
0.14814  5.717E+01  0.63283
0.14915  5.664E+01  0.63426
0.15018  5.611E+01  0.63570
0.15122  5.558E+01  0.63714
0.15228  5.504E+01  0.63858
0.15336  5.450E+01  0.64002
0.15446  5.396E+01  0.64147
0.15558  5.340E+01  0.64291
0.15671  5.285E+01  0.64436
0.15788  5.228E+01  0.64581
0.15906  5.171E+01  0.64727
0.16027  5.114E+01  0.64872
0.16151  5.055E+01  0.65019
0.16278  4.996E+01  0.65165
0.16407  4.936E+01  0.65312
0.16540  4.875E+01  0.65459
0.16676  4.814E+01  0.65607
0.16816  4.751E+01  0.65755
0.16959  4.687E+01  0.65904
0.17107  4.622E+01  0.66053
0.17260  4.556E+01  0.66202
0.17417  4.489E+01  0.66353
0.17580  4.420E+01  0.66504
0.17748  4.350E+01  0.66655
0.17922  4.278E+01  0.66807
0.18104  4.205E+01  0.66960
0.18289  4.130E+01  0.67111
0.18474  4.057E+01  0.67257
0.18659  3.986E+01  0.67396
0.18842  3.916E+01  0.67531
0.19025  3.847E+01  0.67660
0.19207  3.779E+01  0.67784
0.19388  3.713E+01  0.67903
0.19569  3.647E+01  0.68018
0.19749  3.583E+01  0.68128
0.19928  3.520E+01  0.68233
0.20107  3.459E+01  0.68335
0.20285  3.398E+01  0.68433
0.20463  3.338E+01  0.68527
0.20640  3.280E+01  0.68617
0.20817  3.222E+01  0.68704
0.20993  3.166E+01  0.68787
0.21168  3.110E+01  0.68867
0.21343  3.056E+01  0.68945
0.21517  3.002E+01  0.69019
0.21691  2.949E+01  0.69090
0.21865  2.898E+01  0.69158
0.22038  2.847E+01  0.69224
0.22211  2.797E+01  0.69287
0.22383  2.748E+01  0.69348
0.22555  2.699E+01  0.69406
0.22726  2.652E+01  0.69462
0.22897  2.605E+01  0.69516
0.23068  2.559E+01  0.69568
0.23238  2.514E+01  0.69618
0.23408  2.470E+01  0.69666
0.23577  2.427E+01  0.69712
0.23746  2.384E+01  0.69756
0.23915  2.342E+01  0.69798
0.24084  2.301E+01  0.69839
0.24252  2.260E+01  0.69878
0.24420  2.220E+01  0.69916
0.24588  2.181E+01  0.69952
0.24755  2.142E+01  0.69986
0.24922  2.104E+01  0.70020
0.25089  2.067E+01  0.70051
0.25256  2.030E+01  0.70082
0.25422  1.994E+01  0.70111
0.25588  1.959E+01  0.70140
0.25754  1.924E+01  0.70167
0.25920  1.890E+01  0.70193
0.26085  1.857E+01  0.70218
0.26251  1.824E+01  0.70242
0.26416  1.791E+01  0.70265
0.26581  1.759E+01  0.70287
0.26745  1.728E+01  0.70308
0.26910  1.697E+01  0.70329
0.27074  1.667E+01  0.70349
0.27239  1.637E+01  0.70368
0.27403  1.608E+01  0.70387
0.27567  1.579E+01  0.70406
0.27731  1.551E+01  0.70424
0.27895  1.523E+01  0.70442
0.28058  1.496E+01  0.70460
