# Magnus solar model B23-MB22m
#
# Reference:  Y. Herrera and A. Serenelli, "Standard Solar Models B23 / SF-III", Zenodo, v1.2 (2023), doi:10.5281/zenodo.10822316; solar composition Magg et al. (2022), A&A 661, A140 (meteoritic)
# Source:     https://zenodo.org/records/10822316/files/SolarModels_ICE2023_v1.2.zip
# Original:   SolarModels/struct+nu_SF3_MB22m.dat
# Retrieved:  2026-09-23
# SHA-256:    382037d76ed35c9b50a4094d3ada3c90284af025c3235b49cda9d932699f87d0 (of SolarModels_ICE2023_v1.2.zip)
# Terms:      Creative Commons Attribution 4.0 International (CC-BY-4.0).
# Modified:   columns extracted only -- radius [R_sun], log10_rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: log10_rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#    #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
#
# r_over_r_sun  log10_rho_g_per_cm3  x_hydrogen
5.500e-02  2.08746e+00  4.24039e-01
5.550e-02  2.08601e+00  4.25268e-01
5.600e-02  2.08456e+00  4.26501e-01
5.650e-02  2.08311e+00  4.27738e-01
5.700e-02  2.08165e+00  4.28980e-01
5.750e-02  2.08017e+00  4.30226e-01
5.800e-02  2.07868e+00  4.31477e-01
5.850e-02  2.07719e+00  4.32731e-01
5.900e-02  2.07570e+00  4.33990e-01
5.950e-02  2.07419e+00  4.35252e-01
6.000e-02  2.07268e+00  4.36518e-01
6.050e-02  2.07116e+00  4.37788e-01
6.100e-02  2.06964e+00  4.39061e-01
6.150e-02  2.06811e+00  4.40337e-01
6.200e-02  2.06658e+00  4.41616e-01
6.250e-02  2.06503e+00  4.42900e-01
6.300e-02  2.06349e+00  4.44185e-01
6.350e-02  2.06193e+00  4.45473e-01
6.400e-02  2.06037e+00  4.46765e-01
6.450e-02  2.05879e+00  4.48059e-01
6.500e-02  2.05722e+00  4.49355e-01
6.550e-02  2.05564e+00  4.50654e-01
6.600e-02  2.05406e+00  4.51955e-01
6.650e-02  2.05247e+00  4.53258e-01
6.700e-02  2.05087e+00  4.54563e-01
6.750e-02  2.04927e+00  4.55870e-01
6.800e-02  2.04767e+00  4.57179e-01
6.850e-02  2.04605e+00  4.58489e-01
6.900e-02  2.04443e+00  4.59802e-01
6.950e-02  2.04281e+00  4.61115e-01
7.000e-02  2.04118e+00  4.62430e-01
7.050e-02  2.03955e+00  4.63746e-01
7.100e-02  2.03791e+00  4.65063e-01
7.150e-02  2.03626e+00  4.66381e-01
7.200e-02  2.03462e+00  4.67700e-01
7.250e-02  2.03296e+00  4.69020e-01
7.300e-02  2.03131e+00  4.70341e-01
7.350e-02  2.02964e+00  4.71662e-01
7.400e-02  2.02798e+00  4.72983e-01
7.450e-02  2.02630e+00  4.74305e-01
7.500e-02  2.02463e+00  4.75628e-01
7.550e-02  2.02294e+00  4.76949e-01
7.600e-02  2.02126e+00  4.78271e-01
7.650e-02  2.01958e+00  4.79594e-01
7.700e-02  2.01789e+00  4.80916e-01
7.750e-02  2.01619e+00  4.82238e-01
7.800e-02  2.01449e+00  4.83559e-01
7.850e-02  2.01278e+00  4.84879e-01
7.900e-02  2.01107e+00  4.86199e-01
7.950e-02  2.00936e+00  4.87518e-01
8.000e-02  2.00765e+00  4.88836e-01
8.050e-02  2.00593e+00  4.90154e-01
8.100e-02  2.00421e+00  4.91471e-01
8.150e-02  2.00248e+00  4.92787e-01
8.200e-02  2.00075e+00  4.94101e-01
8.250e-02  1.99902e+00  4.95414e-01
8.300e-02  1.99728e+00  4.96725e-01
8.350e-02  1.99554e+00  4.98035e-01
8.400e-02  1.99380e+00  4.99343e-01
8.450e-02  1.99205e+00  5.00650e-01
8.500e-02  1.99030e+00  5.01955e-01
8.550e-02  1.98855e+00  5.03258e-01
8.600e-02  1.98679e+00  5.04559e-01
8.650e-02  1.98503e+00  5.05859e-01
8.700e-02  1.98327e+00  5.07156e-01
8.750e-02  1.98151e+00  5.08450e-01
8.800e-02  1.97974e+00  5.09742e-01
8.850e-02  1.97797e+00  5.11033e-01
8.900e-02  1.97620e+00  5.12321e-01
8.950e-02  1.97443e+00  5.13606e-01
9.000e-02  1.97265e+00  5.14888e-01
9.050e-02  1.97086e+00  5.16167e-01
9.100e-02  1.96908e+00  5.17444e-01
9.150e-02  1.96730e+00  5.18718e-01
9.200e-02  1.96551e+00  5.19989e-01
9.250e-02  1.96372e+00  5.21257e-01
9.300e-02  1.96193e+00  5.22522e-01
9.350e-02  1.96013e+00  5.23784e-01
9.400e-02  1.95833e+00  5.25043e-01
9.450e-02  1.95654e+00  5.26298e-01
9.500e-02  1.95474e+00  5.27550e-01
9.550e-02  1.95293e+00  5.28798e-01
9.600e-02  1.95112e+00  5.30043e-01
9.650e-02  1.94931e+00  5.31286e-01
9.700e-02  1.94750e+00  5.32524e-01
9.750e-02  1.94569e+00  5.33757e-01
9.800e-02  1.94388e+00  5.34987e-01
9.850e-02  1.94205e+00  5.36215e-01
9.900e-02  1.94023e+00  5.37438e-01
9.950e-02  1.93842e+00  5.38657e-01
1.000e-01  1.93659e+00  5.39873e-01
1.005e-01  1.93477e+00  5.41083e-01
1.010e-01  1.93295e+00  5.42288e-01
1.015e-01  1.93112e+00  5.43492e-01
1.020e-01  1.92929e+00  5.44692e-01
1.025e-01  1.92745e+00  5.45888e-01
1.030e-01  1.92562e+00  5.47077e-01
1.035e-01  1.92379e+00  5.48262e-01
1.040e-01  1.92195e+00  5.49444e-01
1.045e-01  1.92011e+00  5.50623e-01
1.050e-01  1.91827e+00  5.51796e-01
1.055e-01  1.91643e+00  5.52964e-01
1.060e-01  1.91458e+00  5.54127e-01
1.065e-01  1.91274e+00  5.55286e-01
1.070e-01  1.91089e+00  5.56442e-01
1.075e-01  1.90905e+00  5.57592e-01
1.080e-01  1.90720e+00  5.58739e-01
1.085e-01  1.90534e+00  5.59879e-01
1.090e-01  1.90349e+00  5.61014e-01
1.095e-01  1.90163e+00  5.62147e-01
1.100e-01  1.89978e+00  5.63273e-01
1.105e-01  1.89792e+00  5.64394e-01
1.110e-01  1.89606e+00  5.65512e-01
1.115e-01  1.89420e+00  5.66624e-01
1.120e-01  1.89233e+00  5.67731e-01
1.125e-01  1.89047e+00  5.68831e-01
1.130e-01  1.88861e+00  5.69930e-01
1.135e-01  1.88674e+00  5.71020e-01
1.140e-01  1.88487e+00  5.72107e-01
1.145e-01  1.88301e+00  5.73189e-01
1.150e-01  1.88114e+00  5.74267e-01
1.155e-01  1.87926e+00  5.75340e-01
1.160e-01  1.87739e+00  5.76406e-01
1.165e-01  1.87552e+00  5.77467e-01
1.170e-01  1.87364e+00  5.78523e-01
1.175e-01  1.87176e+00  5.79573e-01
1.180e-01  1.86989e+00  5.80618e-01
1.185e-01  1.86801e+00  5.81658e-01
1.190e-01  1.86613e+00  5.82693e-01
1.195e-01  1.86424e+00  5.83723e-01
1.200e-01  1.86236e+00  5.84747e-01
1.205e-01  1.86047e+00  5.85766e-01
1.210e-01  1.85859e+00  5.86780e-01
1.215e-01  1.85670e+00  5.87789e-01
1.220e-01  1.85481e+00  5.88792e-01
1.225e-01  1.85292e+00  5.89788e-01
1.230e-01  1.85103e+00  5.90780e-01
1.235e-01  1.84914e+00  5.91767e-01
1.240e-01  1.84724e+00  5.92748e-01
1.245e-01  1.84535e+00  5.93724e-01
1.250e-01  1.84345e+00  5.94694e-01
1.255e-01  1.84156e+00  5.95658e-01
1.260e-01  1.83967e+00  5.96617e-01
1.265e-01  1.83777e+00  5.97570e-01
1.270e-01  1.83586e+00  5.98518e-01
1.275e-01  1.83396e+00  5.99461e-01
1.280e-01  1.83206e+00  6.00399e-01
1.285e-01  1.83015e+00  6.01331e-01
1.290e-01  1.82824e+00  6.02256e-01
1.295e-01  1.82633e+00  6.03176e-01
1.300e-01  1.82443e+00  6.04092e-01
1.305e-01  1.82251e+00  6.05002e-01
1.310e-01  1.82060e+00  6.05906e-01
