# Magnus solar model B23-C11
#
# Reference:  Y. Herrera and A. Serenelli, "Standard Solar Models B23 / SF-III", Zenodo, v1.2 (2023), doi:10.5281/zenodo.10822316; solar composition Caffau et al. (2011), Sol. Phys., 268, 255
# Source:     https://zenodo.org/records/10822316/files/SolarModels_ICE2023_v1.2.zip
# Original:   SolarModels/struct+nu_SF3_C11.dat
# Retrieved:  2026-09-23
# SHA-256:    382037d76ed35c9b50a4094d3ada3c90284af025c3235b49cda9d932699f87d0 (of SolarModels_ICE2023_v1.2.zip)
# Terms:      Creative Commons Attribution 4.0 International (CC-BY-4.0).
# Modified:   columns extracted only -- radius [R_sun], log10_rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: log10_rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#    #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
#
# r_over_r_sun  log10_rho_g_per_cm3  x_hydrogen
5.500e-02  2.08565e+00  4.33369e-01
5.550e-02  2.08422e+00  4.34586e-01
5.600e-02  2.08279e+00  4.35809e-01
5.650e-02  2.08134e+00  4.37036e-01
5.700e-02  2.07989e+00  4.38268e-01
5.750e-02  2.07843e+00  4.39504e-01
5.800e-02  2.07697e+00  4.40745e-01
5.850e-02  2.07549e+00  4.41989e-01
5.900e-02  2.07401e+00  4.43237e-01
5.950e-02  2.07253e+00  4.44490e-01
6.000e-02  2.07104e+00  4.45747e-01
6.050e-02  2.06954e+00  4.47007e-01
6.100e-02  2.06803e+00  4.48271e-01
6.150e-02  2.06651e+00  4.49538e-01
6.200e-02  2.06499e+00  4.50809e-01
6.250e-02  2.06346e+00  4.52083e-01
6.300e-02  2.06193e+00  4.53360e-01
6.350e-02  2.06039e+00  4.54640e-01
6.400e-02  2.05885e+00  4.55923e-01
6.450e-02  2.05730e+00  4.57209e-01
6.500e-02  2.05574e+00  4.58496e-01
6.550e-02  2.05418e+00  4.59787e-01
6.600e-02  2.05261e+00  4.61081e-01
6.650e-02  2.05103e+00  4.62376e-01
6.700e-02  2.04944e+00  4.63674e-01
6.750e-02  2.04786e+00  4.64974e-01
6.800e-02  2.04627e+00  4.66275e-01
6.850e-02  2.04467e+00  4.67579e-01
6.900e-02  2.04306e+00  4.68884e-01
6.950e-02  2.04145e+00  4.70190e-01
7.000e-02  2.03984e+00  4.71499e-01
7.050e-02  2.03823e+00  4.72809e-01
7.100e-02  2.03660e+00  4.74119e-01
7.150e-02  2.03497e+00  4.75431e-01
7.200e-02  2.03334e+00  4.76744e-01
7.250e-02  2.03170e+00  4.78058e-01
7.300e-02  2.03006e+00  4.79373e-01
7.350e-02  2.02841e+00  4.80688e-01
7.400e-02  2.02676e+00  4.82004e-01
7.450e-02  2.02510e+00  4.83320e-01
7.500e-02  2.02344e+00  4.84637e-01
7.550e-02  2.02177e+00  4.85954e-01
7.600e-02  2.02011e+00  4.87270e-01
7.650e-02  2.01843e+00  4.88588e-01
7.700e-02  2.01676e+00  4.89904e-01
7.750e-02  2.01507e+00  4.91221e-01
7.800e-02  2.01338e+00  4.92538e-01
7.850e-02  2.01169e+00  4.93854e-01
7.900e-02  2.01000e+00  4.95170e-01
7.950e-02  2.00831e+00  4.96485e-01
8.000e-02  2.00660e+00  4.97799e-01
8.050e-02  2.00489e+00  4.99112e-01
8.100e-02  2.00318e+00  5.00425e-01
8.150e-02  2.00148e+00  5.01737e-01
8.200e-02  1.99976e+00  5.03048e-01
8.250e-02  1.99804e+00  5.04357e-01
8.300e-02  1.99631e+00  5.05665e-01
8.350e-02  1.99459e+00  5.06972e-01
8.400e-02  1.99286e+00  5.08277e-01
8.450e-02  1.99113e+00  5.09580e-01
8.500e-02  1.98939e+00  5.10882e-01
8.550e-02  1.98765e+00  5.12182e-01
8.600e-02  1.98590e+00  5.13480e-01
8.650e-02  1.98416e+00  5.14777e-01
8.700e-02  1.98242e+00  5.16071e-01
8.750e-02  1.98066e+00  5.17362e-01
8.800e-02  1.97891e+00  5.18653e-01
8.850e-02  1.97715e+00  5.19940e-01
8.900e-02  1.97539e+00  5.21226e-01
8.950e-02  1.97363e+00  5.22508e-01
9.000e-02  1.97186e+00  5.23788e-01
9.050e-02  1.97010e+00  5.25066e-01
9.100e-02  1.96833e+00  5.26341e-01
9.150e-02  1.96655e+00  5.27613e-01
9.200e-02  1.96478e+00  5.28882e-01
